_______ __________						
E	S2	S1	S0	Y	________	
0	X	X	X	0	"_____ ""____"" "	
1	0	0	0	D0	"_____ ""___"" - _____ 0 "	
1	0	0	1	D1	"_____ ""___"" - _____ 1"	
1	0	1	0	D2	"_____ ""___"" - _____ 2"	
1	0	1	1	D3	"_____ ""___"" - _____ 3 "	
1	1	0	0	D4	"_____ ""___"" - _____ 4 "	
1	1	0	1	D5	"_____ ""___"" - _____ 5 "	
1	1	1	0	D6	"_____ ""___"" - _____ 6 "	
1	1	1	1	D7	"_____ ""___"" - _____ 7 "	
						
						
Y = E ( (~S2 ~S1 ~S0 D0) + (~S2 ~S1 S0 D1) + (~S2 S1 ~S0 D2) + (~S2 S1 S0 D3) + (S2 ~S1 ~S0 D4) + (S2 ~S1 S0 D5) + (S2 S1 ~S0 D6 ) + (S2 S1 S0 D7) )						
						
						
